airline_sentiment,text,roberta_sentiment
neutral,@VirginAmerica What @dhepburn said.,0.03081023320555687
positive,@VirginAmerica plus you've added commercials to the experience... tacky.,-0.8803233504295349
neutral,@VirginAmerica I didn't today... Must mean I need to take another trip!,-0.11832206696271896
negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",-0.8810110688209534
negative,@VirginAmerica and it's a really big bad thing about it,-0.9298679232597351
negative,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",-0.8346067070960999
positive,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",-0.35273945331573486
neutral,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",-0.8653756976127625
positive,"@virginamerica Well, I didn't…but NOW I DO! :-D",0.9392816424369812
positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",0.9851043224334717
neutral,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,-0.8422347903251648
positive,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,0.9779351353645325
positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,0.9839101433753967
positive,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,0.9745525121688843
positive,@VirginAmerica Thanks!,0.8613798022270203
negative,@VirginAmerica SFO-PDX schedule is still MIA.,-0.2475951462984085
positive,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,0.989661455154419
negative,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,-0.7556593418121338
positive,I ❤️ flying @VirginAmerica. ☺️👍,0.9847093820571899
positive,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,0.9820345044136047
negative,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,-0.5528903007507324
positive,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,0.977166473865509
positive,@VirginAmerica I love the hipster innovation. You are a feel good brand.,0.9658323526382446
neutral,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,0.06974267959594727
negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,-0.9276569485664368
negative,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,-0.7133404612541199
negative,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,-0.919788122177124
neutral,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,0.7321078777313232
negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,-0.8819791078567505
neutral,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,-0.6903109550476074
negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",-0.0254630446434021
neutral,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,0.0146930031478405
negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",-0.8665586709976196
negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",-0.7305591106414795
positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,0.9821881055831909
neutral,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,0.94557785987854
positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,0.9874512553215027
positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",0.9790380001068115
neutral,@VirginAmerica when can I book my flight to Hawaii??,0.03099772334098816
negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,-0.8455252051353455
positive,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",0.29525527358055115
negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",-0.1309986114501953
neutral,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,0.9308360815048218
neutral,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,-0.36199021339416504
neutral,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,0.014094236306846142
positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!,0.9754050970077515
neutral,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,0.10742927342653275
positive,@VirginAmerica wow this just blew my mind,0.6764559149742126
neutral,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,0.5778107643127441
neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,0.9231275916099548
neutral,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",0.013825230300426483
positive,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,0.9489614367485046
neutral,@VirginAmerica wish you flew out of Atlanta... Soon?,-0.04378584399819374
neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,0.39552760124206543
